"ESNG"	"Symbol"	"cds_length"
"ENSG00000104885"	"DOT1L"	15258
"ENSG00000104886"	"PLEKHJ1"	12283
"ENSG00000104888"	"SLC17A7"	7720
"ENSG00000104889"	"RNASEH2A"	4103
"ENSG00000104892"	"KLC3"	5462
"ENSG00000104894"	"CD37"	10279
"ENSG00000104897"	"SF3A2"	4001
"ENSG00000104899"	"AMH"	3860
"ENSG00000104901"	"DKKL1"	2228
"ENSG00000104903"	"LYL1"	3922
"ENSG00000104904"	"OAZ1"	9698
"ENSG00000104907"	"TRMT1"	10616
"ENSG00000104915"	"STX10"	5992
"ENSG00000104918"	"RETN"	1029
"ENSG00000104921"	"FCER2"	5649
"ENSG00000104936"	"DMPK"	33144
"ENSG00000104938"	"CLEC4M"	8477
"ENSG00000104941"	"RSPH6A"	3802
"ENSG00000104946"	"TBC1D17"	6333
"ENSG00000104951"	"IL4I1"	3807
"ENSG00000104953"	"TLE6"	5904
"ENSG00000104957"	"CCDC130"	8890
"ENSG00000104960"	"PTOV1"	11518
"ENSG00000104964"	"AES"	10959
"ENSG00000104967"	"NOVA2"	9867
"ENSG00000104969"	"SGTA"	18943
"ENSG00000104970"	"KIR3DX1"	9471
"ENSG00000104972"	"LILRB1"	9506
"ENSG00000104973"	"MED25"	9029
"ENSG00000104974"	"LILRA1"	7665
"ENSG00000104976"	"SNAPC2"	3242
"ENSG00000104979"	"C19orf53"	3287
"ENSG00000104980"	"TIMM44"	8973
"ENSG00000104983"	"CCDC61"	3838
"ENSG00000104998"	"IL27RA"	2936
"ENSG00000105011"	"ASF1B"	3777
"ENSG00000105048"	"TNNT1"	4076
"ENSG00000105053"	"VRK3"	14846
"ENSG00000105058"	"FAM32A"	4179
"ENSG00000105063"	"PPP6R1"	8600
"ENSG00000105072"	"C19orf44"	6113
"ENSG00000105085"	"MED26"	10489
"ENSG00000105088"	"OLFM2"	4268
"ENSG00000105122"	"RASAL3"	7796
"ENSG00000105127"	"AKAP8"	11688
"ENSG00000105131"	"EPHX3"	3932
"ENSG00000105135"	"ILVBL"	10380
"ENSG00000105136"	"ZNF419"	25416
"ENSG00000105137"	"SYDE1"	7464
"ENSG00000105141"	"CASP14"	3803
"ENSG00000105143"	"SLC1A6"	11440
"ENSG00000105146"	"AURKC"	3188
"ENSG00000105171"	"POP4"	6468
"ENSG00000105173"	"CCNE1"	5397
"ENSG00000105176"	"URI1"	8699
"ENSG00000105185"	"PDCD5"	3816
"ENSG00000105186"	"ANKRD27"	8874
"ENSG00000105193"	"RPS16"	5674
"ENSG00000105197"	"TIMM50"	17729
"ENSG00000105198"	"LGALS13"	1421
"ENSG00000105202"	"FBL"	4205
"ENSG00000105204"	"DYRK1B"	5673
"ENSG00000105205"	"CLC"	627
"ENSG00000105219"	"CNTD2"	5076
"ENSG00000105220"	"GPI"	15753
"ENSG00000105221"	"AKT2"	33280
"ENSG00000105223"	"PLD3"	11351
"ENSG00000105227"	"PRX"	30760
"ENSG00000105229"	"PIAS4"	4004
"ENSG00000105245"	"NUMBL"	9423
"ENSG00000105246"	"EBI3"	1520
"ENSG00000105248"	"CCDC94"	1659
"ENSG00000105251"	"SHD"	4064
"ENSG00000105254"	"TBCB"	6992
"ENSG00000105255"	"FSD1"	6506
"ENSG00000105258"	"POLR2I"	3179
"ENSG00000105261"	"OVOL3"	909
"ENSG00000105270"	"CLIP3"	5345
"ENSG00000105278"	"ZFR2"	8754
"ENSG00000105281"	"SLC1A5"	5548
"ENSG00000105287"	"PRKD2"	12774
"ENSG00000105289"	"TJP3"	5456
"ENSG00000105290"	"APLP1"	7134
"ENSG00000105298"	"CACTIN"	11168
"ENSG00000105321"	"CCDC9"	4971
"ENSG00000105323"	"HNRNPUL1"	14663
"ENSG00000105325"	"FZR1"	9458
"ENSG00000105327"	"BBC3"	4737
"ENSG00000105329"	"TGFB1"	4190
"ENSG00000105339"	"DENND3"	31025
"ENSG00000105341"	"ATP5SL"	11264
"ENSG00000105352"	"CEACAM4"	1759
"ENSG00000105355"	"PLIN3"	6594
"ENSG00000105357"	"MYH14"	14326
"ENSG00000105364"	"MRPL4"	7424
"ENSG00000105366"	"SIGLEC8"	5321
"ENSG00000105369"	"CD79A"	2268
"ENSG00000105370"	"LIM2"	1213
"ENSG00000105371"	"ICAM4"	3848
"ENSG00000105372"	"RPS19"	4343
"ENSG00000105373"	"GLTSCR2"	7597
"ENSG00000105374"	"NKG7"	2077
"ENSG00000105376"	"ICAM5"	5904
"ENSG00000105379"	"ETFB"	7139
"ENSG00000105383"	"CD33"	9321
"ENSG00000105388"	"CEACAM5"	6605
"ENSG00000105392"	"CRX"	12968
"ENSG00000105393"	"BABAM1"	7018
"ENSG00000105397"	"TYK2"	11447
"ENSG00000105398"	"SULT2A1"	1898
"ENSG00000105401"	"CDC37"	6474
"ENSG00000105402"	"NAPA"	15436
"ENSG00000105404"	"RABAC1"	5433
"ENSG00000105409"	"ATP1A3"	8889
"ENSG00000105419"	"MEIS3"	9290
"ENSG00000105426"	"PTPRS"	11234
"ENSG00000105427"	"CNFN"	777
"ENSG00000105428"	"ZNRF4"	1439
"ENSG00000105429"	"MEGF8"	18856
"ENSG00000105438"	"KDELR1"	4315
"ENSG00000105443"	"CYTH2"	19903
"ENSG00000105447"	"GRWD1"	6111
"ENSG00000105464"	"GRIN2D"	5497
"ENSG00000105467"	"SYNGR4"	1934
"ENSG00000105472"	"CLEC11A"	2016
"ENSG00000105479"	"CCDC114"	10767
"ENSG00000105483"	"CARD8"	34422
"ENSG00000105486"	"LIG1"	10734
"ENSG00000105492"	"SIGLEC6"	7988
"ENSG00000105497"	"ZNF175"	9257
"ENSG00000105499"	"PLA2G4C"	12347
"ENSG00000105501"	"SIGLEC5"	2350
"ENSG00000105507"	"CABP5"	2142
"ENSG00000105509"	"HAS1"	4529
"ENSG00000105514"	"RAB3D"	4624
"ENSG00000105516"	"DBP"	9989
"ENSG00000105518"	"TMEM205"	7088
"ENSG00000105519"	"CAPS"	4576
"ENSG00000105520"	"PLPPR2"	5539
"ENSG00000105523"	"FAM83E"	5729
"ENSG00000105538"	"RASIP1"	4905
"ENSG00000105549"	"THEG"	2969
"ENSG00000105550"	"FGF21"	2130
"ENSG00000105552"	"BCAT2"	7947
"ENSG00000105556"	"MIER2"	4505
"ENSG00000105559"	"PLEKHA4"	6483
"ENSG00000105568"	"PPP2R1A"	10437
"ENSG00000105576"	"TNPO2"	11903
"ENSG00000105583"	"WDR83OS"	1624
"ENSG00000105605"	"CACNG7"	4094
"ENSG00000105607"	"GCDH"	7927
"ENSG00000105609"	"LILRB5"	12952
"ENSG00000105610"	"KLF1"	1610
"ENSG00000105612"	"DNASE2"	3483
"ENSG00000105613"	"MAST1"	9647
"ENSG00000105617"	"LENG1"	1377
"ENSG00000105618"	"PRPF31"	5212
"ENSG00000105619"	"TFPT"	1468
"ENSG00000105639"	"JAK3"	9751
"ENSG00000105640"	"RPL18A"	4914
"ENSG00000105641"	"SLC5A5"	3876
"ENSG00000105642"	"KCNN1"	7178
"ENSG00000105643"	"ARRDC2"	9940
"ENSG00000105647"	"PIK3R2"	10375
"ENSG00000105649"	"RAB3A"	3351
"ENSG00000105650"	"PDE4C"	12484
"ENSG00000105655"	"ISYNA1"	7598
"ENSG00000105656"	"ELL"	8182
"ENSG00000105662"	"CRTC1"	8644
"ENSG00000105664"	"COMP"	3659
"ENSG00000105668"	"UPK1A"	2115
"ENSG00000105669"	"COPE"	6109
"ENSG00000105671"	"DDX49"	8645
"ENSG00000105672"	"ETV2"	3216
"ENSG00000105675"	"ATP4A"	5057
"ENSG00000105676"	"ARMC6"	14097
"ENSG00000105677"	"TMEM147"	6073
"ENSG00000105679"	"GAPDHS"	1827
"ENSG00000105694"	"TCEB1P28"	315
"ENSG00000105695"	"MAG"	4595
"ENSG00000105696"	"TMEM59L"	4616
"ENSG00000105697"	"HAMP"	3410
"ENSG00000105698"	"USF2"	12323
"ENSG00000105699"	"LSR"	6835
"ENSG00000105700"	"KXD1"	10631
"ENSG00000105701"	"FKBP8"	6702
"ENSG00000105705"	"SUGP1"	8326
"ENSG00000105707"	"HPN"	7932
"ENSG00000105708"	"ZNF14"	2959
"ENSG00000105711"	"SCN1B"	17516
"ENSG00000105717"	"PBX4"	3991
"ENSG00000105722"	"ERF"	6038
"ENSG00000105723"	"GSK3A"	10554
"ENSG00000105726"	"ATP13A1"	14327
"ENSG00000105732"	"ZNF574"	10843
"ENSG00000105737"	"GRIK5"	7396
"ENSG00000105738"	"SIPA1L3"	12886
"ENSG00000105750"	"ZNF85"	12135
"ENSG00000105755"	"ETHE1"	3054
"ENSG00000105767"	"CADM4"	2307
"ENSG00000105771"	"SMG9"	11035
"ENSG00000105778"	"AVL9"	24532
"ENSG00000105784"	"RUNDC3B"	9792
"ENSG00000105792"	"CFAP69"	13168
"ENSG00000105793"	"GTPBP10"	18658
"ENSG00000105808"	"RASA4"	12058
"ENSG00000105810"	"CDK6"	13416
"ENSG00000105819"	"PMPCB"	8192
"ENSG00000105821"	"DNAJC2"	9815
"ENSG00000105825"	"TFPI2"	4419
"ENSG00000105829"	"BET1"	8070
"ENSG00000105835"	"NAMPT"	78475
"ENSG00000105849"	"TWISTNB"	4314
"ENSG00000105851"	"PIK3CG"	10796
"ENSG00000105852"	"PON3"	5768
"ENSG00000105854"	"PON2"	10171
"ENSG00000105855"	"ITGB8"	17963
"ENSG00000105856"	"HBP1"	12024
"ENSG00000105865"	"DUS4L"	11607
"ENSG00000105866"	"SP4"	14128
"ENSG00000105875"	"WDR91"	36619
"ENSG00000105877"	"DNAH11"	17676
"ENSG00000105879"	"CBLL1"	8412
"ENSG00000105880"	"DLX5"	3546
"ENSG00000105887"	"MTPN"	4655
"ENSG00000105889"	"STEAP1B"	9223
"ENSG00000105894"	"PTN"	2621
"ENSG00000105926"	"MPP6"	13069
"ENSG00000105928"	"DFNA5"	13391
"ENSG00000105929"	"ATP6V0A4"	7031
"ENSG00000105939"	"ZC3HAV1"	14353
"ENSG00000105948"	"TTC26"	11051
"ENSG00000105953"	"OGDH"	7440
"ENSG00000105954"	"NPVF"	1187
"ENSG00000105963"	"ADAP1"	11687
"ENSG00000105967"	"TFEC"	22893
"ENSG00000105968"	"H2AFV"	8977
"ENSG00000105971"	"CAV2"	9957
"ENSG00000105974"	"CAV1"	10015
"ENSG00000105976"	"MET"	9867
"ENSG00000105982"	"RNF32"	8201
"ENSG00000105983"	"LMBR1"	22024
"ENSG00000105988"	"NHP2P1"	461
"ENSG00000105989"	"WNT2"	6753
"ENSG00000105991"	"HOXA1"	4554
"ENSG00000105993"	"DNAJB6"	20604
"ENSG00000105996"	"HOXA2"	3676
"ENSG00000105997"	"HOXA3"	8803
"ENSG00000106003"	"LFNG"	5470
"ENSG00000106004"	"HOXA5"	1995
"ENSG00000106006"	"HOXA6"	1798
"ENSG00000106009"	"BRAT1"	14299
"ENSG00000106012"	"IQCE"	17267
"ENSG00000106013"	"ANKRD7"	4947
"ENSG00000106018"	"VIPR2"	5991
"ENSG00000106025"	"TSPAN12"	4843
"ENSG00000106028"	"SSBP1"	9194
"ENSG00000106031"	"HOXA13"	5882
"ENSG00000106034"	"CPED1"	10035
"ENSG00000106038"	"EVX1"	5849
"ENSG00000106049"	"HIBADH"	3787
"ENSG00000106052"	"TAX1BP1"	12609
"ENSG00000106066"	"CPVL"	5353
"ENSG00000106069"	"CHN2"	13800
"ENSG00000106070"	"GRB10"	26537
"ENSG00000106077"	"ABHD11"	6733
"ENSG00000106078"	"COBL"	18232
"ENSG00000106080"	"FKBP14"	7098
"ENSG00000106086"	"PLEKHA8"	20835
"ENSG00000106089"	"STX1A"	8474
"ENSG00000106100"	"NOD1"	11018
"ENSG00000106105"	"GARS"	36565
"ENSG00000106113"	"CRHR2"	6781
"ENSG00000106123"	"EPHB6"	9839
"ENSG00000106125"	"FAM188B"	8292
"ENSG00000106128"	"GHRHR"	5392
"ENSG00000106133"	"NSUN5P2"	3914
"ENSG00000106144"	"CASP2"	14554
"ENSG00000106153"	"CHCHD2"	1235
"ENSG00000106178"	"CCL24"	1883
"ENSG00000106211"	"HSPB1"	5609
"ENSG00000106236"	"NPTX2"	3304
"ENSG00000106244"	"PDAP1"	3593
"ENSG00000106245"	"BUD31"	4285
"ENSG00000106246"	"PTCD1"	6989
"ENSG00000106258"	"CYP3A5"	15717
"ENSG00000106261"	"ZKSCAN1"	20997
"ENSG00000106263"	"EIF3B"	14673
"ENSG00000106266"	"SNX8"	6809
"ENSG00000106268"	"NUDT1"	3159
"ENSG00000106278"	"PTPRZ1"	28385
"ENSG00000106290"	"TAF6"	23174
"ENSG00000106299"	"WASL"	4352
"ENSG00000106302"	"HYAL4"	3722
"ENSG00000106304"	"SPAM1"	4907
"ENSG00000106305"	"AIMP2"	3259
"ENSG00000106327"	"TFR2"	9722
"ENSG00000106328"	"FSCN3"	4403
"ENSG00000106330"	"MOSPD3"	4552
"ENSG00000106331"	"PAX4"	4762
"ENSG00000106333"	"PCOLCE"	6401
"ENSG00000106336"	"FBXO24"	5503
"ENSG00000106341"	"PPP1R17"	2380
"ENSG00000106344"	"RBM28"	18343
"ENSG00000106346"	"USP42"	9628
"ENSG00000106348"	"IMPDH1"	9024
"ENSG00000106351"	"AGFG2"	7909
"ENSG00000106355"	"LSM5"	7416
"ENSG00000106366"	"SERPINE1"	3147
"ENSG00000106367"	"AP1S1"	2623
"ENSG00000106384"	"MOGAT3"	3733
"ENSG00000106392"	"C1GALT1"	10507
"ENSG00000106397"	"PLOD3"	9319
"ENSG00000106399"	"RPA3"	5565
"ENSG00000106400"	"ZNHIT1"	6967
"ENSG00000106404"	"CLDN15"	7073
"ENSG00000106410"	"NOBOX"	2238
"ENSG00000106415"	"GLCCI1"	12062
"ENSG00000106436"	"MYL10"	1139
"ENSG00000106443"	"PHF14"	20296
"ENSG00000106459"	"NRF1"	9791
"ENSG00000106460"	"TMEM106B"	15687
"ENSG00000106462"	"EZH2"	25877
"ENSG00000106477"	"CEP41"	38680
"ENSG00000106479"	"ZNF862"	9591
"ENSG00000106483"	"SFRP4"	3986
"ENSG00000106484"	"MEST"	12282
"ENSG00000106511"	"MEOX2"	2368
"ENSG00000106524"	"ANKMY2"	5436
"ENSG00000106526"	"ACTR3C"	12834
"ENSG00000106536"	"POU6F2"	15378
"ENSG00000106537"	"TSPAN13"	2070
"ENSG00000106538"	"RARRES2"	4001
"ENSG00000106540"	"AC004837.3"	563
"ENSG00000106541"	"AGR2"	3742
"ENSG00000106546"	"AHR"	14666
"ENSG00000106554"	"CHCHD3"	4640
"ENSG00000106560"	"GIMAP2"	2265
"ENSG00000106565"	"TMEM176B"	3888
"ENSG00000106571"	"GLI3"	17510
"ENSG00000106588"	"PSMA2"	19234
"ENSG00000106591"	"MRPL32"	4125
"ENSG00000106603"	"COA1"	17146
"ENSG00000106605"	"BLVRA"	2327
"ENSG00000106608"	"URGCP"	13341
"ENSG00000106609"	"TMEM248"	7349
"ENSG00000106610"	"STAG3L4"	7062
"ENSG00000106615"	"RHEB"	5134
"ENSG00000106617"	"PRKAG2"	39566
"ENSG00000106624"	"AEBP1"	9269
"ENSG00000106628"	"POLD2"	8637
"ENSG00000106631"	"MYL7"	3411
"ENSG00000106633"	"GCK"	13596
"ENSG00000106635"	"BCL7B"	9012
"ENSG00000106636"	"YKT6"	32346
"ENSG00000106638"	"TBL2"	15351
"ENSG00000106648"	"GALNTL5"	6213
"ENSG00000106665"	"CLIP2"	11971
"ENSG00000106682"	"EIF4H"	16282
"ENSG00000106683"	"LIMK1"	8258
"ENSG00000106686"	"SPATA6L"	13062
"ENSG00000106688"	"SLC1A1"	4259
"ENSG00000106689"	"LHX2"	3835
"ENSG00000106692"	"FKTN"	54175
"ENSG00000106701"	"FSD1L"	11456
"ENSG00000106714"	"CNTNAP3"	21942
"ENSG00000106723"	"SPIN1"	6656
"ENSG00000106733"	"NMRK1"	6865
"ENSG00000106771"	"TMEM245"	12786
"ENSG00000106772"	"PRUNE2"	28022
"ENSG00000106780"	"MEGF9"	6294
"ENSG00000106785"	"TRIM14"	7683
"ENSG00000106789"	"CORO2A"	5701
"ENSG00000106799"	"TGFBR1"	18029
"ENSG00000106803"	"SEC61B"	1352
"ENSG00000106804"	"C5"	6702
"ENSG00000106809"	"OGN"	6664
"ENSG00000106819"	"ASPN"	4474
"ENSG00000106823"	"ECM2"	6010
"ENSG00000106829"	"TLE4"	15164
"ENSG00000106852"	"LHX6"	17019
"ENSG00000106853"	"PTGR1"	6714
"ENSG00000106868"	"SUSD1"	6803
"ENSG00000106927"	"AMBP"	2799
"ENSG00000106948"	"AKNA"	16686
"ENSG00000106952"	"TNFSF8"	5702
"ENSG00000106976"	"DNM1"	17991
"ENSG00000106991"	"ENG"	6183
"ENSG00000106992"	"AK1"	3494
"ENSG00000106993"	"CDC37L1"	4737
"ENSG00000107014"	"RLN2"	1656
"ENSG00000107018"	"RLN1"	1769
"ENSG00000107020"	"PLGRKT"	1718
"ENSG00000107021"	"TBC1D13"	6977
"ENSG00000107036"	"RIC1"	14754
"ENSG00000107077"	"KDM4C"	14732
"ENSG00000107099"	"DOCK8"	31101
"ENSG00000107104"	"KANK1"	61243
"ENSG00000107105"	"ELAVL2"	13172
"ENSG00000107130"	"NCS1"	5925
"ENSG00000107140"	"TESK1"	7158
"ENSG00000107147"	"KCNT1"	29278
"ENSG00000107159"	"CA9"	1884
"ENSG00000107164"	"FUBP3"	10115
"ENSG00000107165"	"TYRP1"	6123
"ENSG00000107175"	"CREB3"	2544
"ENSG00000107185"	"RGP1"	7864
"ENSG00000107186"	"MPDZ"	19145
"ENSG00000107187"	"LHX3"	5899
"ENSG00000107201"	"DDX58"	12578
"ENSG00000107223"	"EDF1"	1732
"ENSG00000107242"	"PIP5K1B"	6499
"ENSG00000107249"	"GLIS3"	40359
"ENSG00000107262"	"BAG1"	11050
"ENSG00000107263"	"RAPGEF1"	13959
"ENSG00000107281"	"NPDC1"	4817
"ENSG00000107282"	"APBA1"	11711
"ENSG00000107290"	"SETX"	12662
"ENSG00000107295"	"SH3GL2"	2888
"ENSG00000107317"	"PTGDS"	5360
"ENSG00000107331"	"ABCA2"	19604
"ENSG00000107338"	"SHB"	6029
"ENSG00000107341"	"UBE2R2"	4472
"ENSG00000107362"	"ABHD17B"	3720
"ENSG00000107371"	"EXOSC3"	15231
"ENSG00000107372"	"ZFAND5"	15548
"ENSG00000107404"	"DVL1"	6642
"ENSG00000107438"	"PDLIM1"	3180
"ENSG00000107443"	"CCNJ"	6285
"ENSG00000107447"	"DNTT"	2718
"ENSG00000107485"	"GATA3"	5718
"ENSG00000107518"	"ATRNL1"	14882
"ENSG00000107521"	"HPS1"	8140
"ENSG00000107537"	"PHYH"	5370
"ENSG00000107551"	"RASSF4"	12991
"ENSG00000107554"	"DNMBP"	8826
"ENSG00000107560"	"RAB11FIP2"	12441
"ENSG00000107562"	"CXCL12"	8485
"ENSG00000107566"	"ERLIN1"	4339
"ENSG00000107581"	"EIF3A"	8101
"ENSG00000107593"	"PKD2L1"	3921
"ENSG00000107611"	"CUBN"	14029
"ENSG00000107614"	"TRDMT1"	23997
"ENSG00000107625"	"DDX50"	3774
"ENSG00000107643"	"MAPK8"	28279
"ENSG00000107651"	"SEC23IP"	9431
"ENSG00000107669"	"ATE1"	42653
"ENSG00000107672"	"NSMCE4A"	7951
"ENSG00000107679"	"PLEKHA1"	18389
"ENSG00000107719"	"PALD1"	4590
"ENSG00000107731"	"UNC5B"	6961
"ENSG00000107736"	"CDH23"	27331
"ENSG00000107738"	"C10orf54"	5921
"ENSG00000107742"	"SPOCK2"	11897
"ENSG00000107745"	"MICU1"	6499
"ENSG00000107758"	"PPP3CB"	7579
"ENSG00000107771"	"CCSER2"	16401
"ENSG00000107779"	"BMPR1A"	11496
"ENSG00000107789"	"MINPP1"	6962
"ENSG00000107796"	"ACTA2"	3688
"ENSG00000107798"	"LIPA"	8324
"ENSG00000107807"	"TLX1"	4765
"ENSG00000107815"	"C10orf2"	12484
"ENSG00000107816"	"LZTS2"	8407
"ENSG00000107819"	"SFXN3"	9401
"ENSG00000107821"	"KAZALD1"	6708
"ENSG00000107829"	"FBXW4"	7766
"ENSG00000107831"	"FGF8"	3827
"ENSG00000107833"	"NPM3"	1597
"ENSG00000107854"	"TNKS2"	6215
"ENSG00000107859"	"PITX3"	2403
"ENSG00000107862"	"GBF1"	41416
"ENSG00000107863"	"ARHGAP21"	23422
"ENSG00000107864"	"CPEB3"	12012
"ENSG00000107872"	"FBXL15"	4607
"ENSG00000107874"	"CUEDC2"	2556
"ENSG00000107882"	"SUFU"	7696
"ENSG00000107890"	"ANKRD26"	22426
"ENSG00000107897"	"ACBD5"	29031
"ENSG00000107902"	"LHPP"	5307
"ENSG00000107929"	"LARP4B"	28226
"ENSG00000107937"	"GTPBP4"	7000
"ENSG00000107938"	"EDRF1"	12766
"ENSG00000107949"	"BCCIP"	5052
"ENSG00000107951"	"MTPAP"	10138
"ENSG00000107954"	"NEURL1"	5586
"ENSG00000107957"	"SH3PXD2A"	22524
"ENSG00000107959"	"PITRM1"	27286
"ENSG00000107960"	"OBFC1"	7255
"ENSG00000107968"	"MAP3K8"	5570
"ENSG00000107984"	"DKK1"	2928
"ENSG00000108001"	"EBF3"	13661
"ENSG00000108010"	"GLRX3"	6101
"ENSG00000108018"	"SORCS1"	15820
"ENSG00000108021"	"FAM208B"	15112
"ENSG00000108039"	"XPNPEP1"	11501
"ENSG00000108055"	"SMC3"	26845
"ENSG00000108061"	"SHOC2"	35632
"ENSG00000108064"	"TFAM"	6442
"ENSG00000108091"	"CCDC6"	8960
"ENSG00000108094"	"CUL2"	34285
"ENSG00000108100"	"CCNY"	13904
"ENSG00000108106"	"UBE2S"	3537
"ENSG00000108107"	"RPL28"	14955
"ENSG00000108175"	"ZMIZ1"	11503
"ENSG00000108176"	"DNAJC12"	3471
"ENSG00000108179"	"PPIF"	3739
"ENSG00000108187"	"PBLD"	7765
"ENSG00000108219"	"TSPAN14"	43016
"ENSG00000108231"	"LGI1"	40101
"ENSG00000108239"	"TBC1D12"	8047
"ENSG00000108242"	"CYP2C18"	2824
"ENSG00000108244"	"KRT23"	6821
"ENSG00000108255"	"CRYBA1"	812
"ENSG00000108256"	"NUFIP2"	11397
"ENSG00000108262"	"GIT1"	10378
"ENSG00000108298"	"RPL19"	10985
"ENSG00000108306"	"FBXL20"	13156
"ENSG00000108309"	"RUNDC3A"	7818
"ENSG00000108312"	"UBTF"	13117
"ENSG00000108342"	"CSF3"	6052
"ENSG00000108344"	"PSMD3"	6138
"ENSG00000108349"	"CASC3"	10885
"ENSG00000108352"	"RAPGEFL1"	10343
"ENSG00000108370"	"RGS9"	10831
"ENSG00000108375"	"RNF43"	10897
"ENSG00000108379"	"WNT3"	5001
"ENSG00000108381"	"ASPA"	6586
"ENSG00000108384"	"RAD51C"	11367
"ENSG00000108387"	"SEPT4"	22086
"ENSG00000108389"	"MTMR4"	11251
"ENSG00000108395"	"TRIM37"	10748
"ENSG00000108405"	"P2RX1"	5134
"ENSG00000108406"	"DHX40"	8558
"ENSG00000108417"	"KRT37"	1736
"ENSG00000108423"	"TUBD1"	9119
"ENSG00000108424"	"KPNB1"	15993
"ENSG00000108433"	"GOSR2"	71106
"ENSG00000108439"	"PNPO"	24426
"ENSG00000108442"	"TVP23BP2"	614
"ENSG00000108443"	"RPS6KB1"	16670
"ENSG00000108448"	"TRIM16L"	9878
"ENSG00000108452"	"ZNF29P"	167
"ENSG00000108465"	"CDK5RAP3"	17367
"ENSG00000108468"	"CBX1"	5188
"ENSG00000108469"	"RECQL5"	15235
"ENSG00000108474"	"PIGL"	10372
"ENSG00000108479"	"GALK1"	5637
"ENSG00000108506"	"INTS2"	14532
"ENSG00000108509"	"CAMTA2"	9815
"ENSG00000108510"	"MED13"	14577
"ENSG00000108511"	"HOXB6"	3543
"ENSG00000108515"	"ENO3"	7240
"ENSG00000108516"	"AC003958.6"	419
"ENSG00000108518"	"PFN1"	2511
"ENSG00000108523"	"RNF167"	8507
"ENSG00000108528"	"SLC25A11"	4450
"ENSG00000108551"	"RASD1"	2649
"ENSG00000108556"	"CHRNE"	6883
"ENSG00000108557"	"RAI1"	13963
"ENSG00000108559"	"NUP88"	9481
"ENSG00000108561"	"C1QBP"	3610
"ENSG00000108576"	"SLC6A4"	12623
"ENSG00000108578"	"BLMH"	9082
"ENSG00000108582"	"CPD"	14812
"ENSG00000108587"	"GOSR1"	12065
"ENSG00000108588"	"CCDC47"	5870
"ENSG00000108590"	"MED31"	3198
"ENSG00000108591"	"DRG2"	16644
"ENSG00000108592"	"FTSJ3"	9158
"ENSG00000108599"	"AKAP10"	7285
"ENSG00000108602"	"ALDH3A1"	7969
"ENSG00000108604"	"SMARCD2"	6629
"ENSG00000108622"	"ICAM2"	7192
"ENSG00000108639"	"SYNGR2"	10129
"ENSG00000108641"	"B9D1"	18707
"ENSG00000108651"	"UTP6"	8053
"ENSG00000108654"	"DDX5"	42544
"ENSG00000108666"	"C17orf75"	11925
"ENSG00000108669"	"CYTH1"	14975
"ENSG00000108671"	"PSMD11"	12710
"ENSG00000108679"	"LGALS3BP"	14427
"ENSG00000108684"	"ASIC2"	6379
"ENSG00000108688"	"CCL7"	2043
"ENSG00000108691"	"CCL2"	3318
"ENSG00000108700"	"CCL8"	859
"ENSG00000108702"	"CCL1"	591
"ENSG00000108733"	"PEX12"	4556
"ENSG00000108759"	"KRT32"	1998
"ENSG00000108771"	"DHX58"	6156
"ENSG00000108773"	"KAT2A"	5878
"ENSG00000108774"	"RAB5C"	5299
"ENSG00000108784"	"NAGLU"	5214
"ENSG00000108785"	"HSD17B1P1"	949
"ENSG00000108786"	"HSD17B1"	4346
"ENSG00000108788"	"MLX"	10265
"ENSG00000108797"	"CNTNAP1"	7818
"ENSG00000108798"	"ABI3"	3848
"ENSG00000108799"	"EZH1"	11348
"ENSG00000108813"	"DLX4"	7280
"ENSG00000108819"	"PPP1R9B"	4628
"ENSG00000108821"	"COL1A1"	12312
"ENSG00000108823"	"SGCA"	7026
"ENSG00000108825"	"PTGES3L-AARSD1"	3922
"ENSG00000108826"	"MRPL27"	5686
"ENSG00000108828"	"VAT1"	6012
"ENSG00000108829"	"LRRC59"	4838
"ENSG00000108830"	"RND2"	4658
"ENSG00000108839"	"ALOX12"	3463
"ENSG00000108840"	"HDAC5"	14382
"ENSG00000108846"	"ABCC3"	14624
"ENSG00000108848"	"LUC7L3"	15876
"ENSG00000108849"	"PPY"	2023
"ENSG00000108852"	"MPP2"	18053
"ENSG00000108854"	"SMURF2"	12556
"ENSG00000108861"	"DUSP3"	10927
"ENSG00000108878"	"CACNG1"	1298
"ENSG00000108883"	"EFTUD2"	16700
"ENSG00000108924"	"HLF"	16554
"ENSG00000108932"	"SLC16A6"	4263
"ENSG00000108946"	"PRKAR1A"	35648
"ENSG00000108947"	"EFNB3"	3211
"ENSG00000108950"	"FAM20A"	13636
"ENSG00000108953"	"YWHAE"	9688
"ENSG00000108958"	"AC016292.3"	407
"ENSG00000108960"	"MMD"	5367
"ENSG00000108961"	"RANGRF"	4348
"ENSG00000108963"	"DPH1"	12412
"ENSG00000108984"	"MAP2K6"	20648
"ENSG00000109016"	"DHRS7B"	7713
"ENSG00000109046"	"WSB1"	18043
"ENSG00000109047"	"RCVRN"	3173
"ENSG00000109061"	"MYH1"	5983
"ENSG00000109062"	"SLC9A3R1"	4742
"ENSG00000109063"	"MYH3"	7428
"ENSG00000109065"	"NAT9"	14006
"ENSG00000109066"	"TMEM104"	11550
"ENSG00000109072"	"VTN"	2603
"ENSG00000109079"	"TNFAIP1"	5495
"ENSG00000109083"	"IFT20"	9249
